City,Country,Latitude,Longitude,PopGrowth_2000
Abidjan,Cote d'Ivoire,5.30966,-4.01266,1929000
Adana,Turkey,37.00167,35.32889,1041000
Addis Ababa,Ethiopia,9.02497,38.74689,2424000
Adelaide,Australia,-34.92866,138.59863,1092000
Ahmadabad,India,23.039568,72.566004,2954000
Aleppo,Syria,36.2167,37.1667,1582000
Alexandria,Egypt,31.200092,29.918739,3339000
Algiers,Algeria,36.7525,3.04197,2562000
Almaty,Kazakhstan,43.255058,76.912628,1135000
Amman,Jordan,31.95522,35.94503,1147000
Ankara,Turkey,39.91987,32.85427,2984000
Anshan,China,41.1167,122.9833,1442000
Baghdad,Iraq,33.34058,44.40088,3841000
Baku,Azerbaijan,40.37767,49.89201,1792000
Bandung,Indonesia,-6.914744,107.609814,5919000
Bangalore,India,12.97194,77.59369,3302000
Bangkok,Thailand,13.75398,100.50144,7506000
Baotou,China,40.65744,109.84054,1248000
Barcelona,Spain,41.38879,2.15899,1454000
Barranquilla,Columbia,10.96854,-74.78132,1549000
Bauru,Brazil,-22.3147,-49.0606,3014000
Beijing,China,39.9075,116.39723,7362000
Belem,Brazil,-1.4558,-48.5039,1200000
Belgrade,Serbia,44.80401,20.46513,1594000
Belo Horizonte,Brazil,-19.92083,-43.93778,2154000
Berlin,Germany,52.52437,13.41053,3387000
Bhopal,India,23.25,77.4167,1062000
Birmingham,United Kindgom,52.48142,-1.89983,1020000
Bogor,Indonesia,-6.6,106.8,5000000
Bogota,Columbia,4.598056,-74.075833,6288000
Brasilia,Brazil,-15.77972,-47.92972,2017000
Brisbane,Australia,-27.46794,153.02809,1598000
Brussel,Belgium,50.85045,4.34878,1122000
Bucharest,Romania,44.43225,26.10626,2016000
Budapest,Hungary,47.49801,19.03991,1825000
Buenos Aires,Argentina,-34.61315,-58.37723,2965000
Bursa,Turkey,40.19266,29.08403,1066000
Busan,Republic of Korea,35.17955,129.0756,3814000
Cairo,Egypt,30.06263,31.24967,6801000
Calcutta,India,22.56263,88.36304,4400000
Cali,Columbia,3.43722,-76.5225,2128000
Caloocan City,Philippines,14.65,120.97,1023000
Caracas,Venezuela,10.48801,-66.87919,1975000
Casablanca,Morocco,33.58831,-7.61138,2943000
Changchun,China,43.9,125.2,2192000
Changde,China,29.0333,111.6833,1232000
Changsha,China,28.196111,112.972222,1376000
Changshu,China,31.665,120.822,1036000
Changzhou,China,31.77358,119.95401,1293000
Chelyabinsk,Russian Federation,55.15402,61.42915,1064000
Chengdu,China,30.66667,104.06667,2954000
Chicago,United States of America,41.85003,-87.6501,2896000
Chittagong,Bangladesh,22.3384,91.83168,1364000
Chongqing,China,29.56301,106.551557,3127000
Cirebon,Indonesia,-6.7167,108.5667,2080000
Cordoba,Argentina,-31.4135,-64.18105,1115000
Curitiba,Brazil,-25.4278,-49.2731,1612000
Daegu,Republic of Korea,35.87144,128.6014,2449000
Daejeon,Republic of Korea,36.35041,127.3845,1272000
Dakar,Senegal,14.6937,-17.44406,1097000
Dalian,China,38.9208,121.6392,2484000
Dallas,United States of America,32.78014,-96.8005,1189000
Damascus,Syria,33.5102,36.29128,1394000
Danzhou,China,19.5,109.5833,1391000
Daqing,China,46.5833,125,1026000
Dar-es-Salaam,Tanzania,-6.822921,39.269661,1361000
Datong,China,40.083333,113.3,1277000
Davao,Philippines,7.0667,125.6,1006000
Delhi,India,28.65381,77.22897,7207000
Dhaka,Bangladesh,23.709921,90.407143,3397000
Dingzhou,China,38.5167,114.9833,1025000
Dnipropetrovsk,Ukraine,48.464717,35.046183,1109000
Donetsk,Ukraine,48.015883,37.80285,1050000
Dongguan,China,23.0333,113.7167,1742000
Dongtai,China,32.795,120.519,1163000
Ecatepec,Mexico,19.609722,-99.06,2218000
Esfahan,Iran,32.651389,51.679192,1266000
Faisalabad,Pakistan,31.41667,73.08333,2009000
Fangchenggang,China,21.6,108.3,1090000
Fortaleza,Brazil,-3.71722,-38.54306,2139000
