XCOLLAR,YCOLLAR,ZCOLLAR,Ni
408225.78,87323.75,495.57,1.19
408225.78,87323.75,494.57,1.75
408225.78,87323.75,493.57,0.36
408225.78,87323.75,492.57,2.56
408225.78,87323.75,491.57,2.51
408225.78,87323.75,490.57,2.02
408225.78,87323.75,489.57,1.31
408225.78,87323.75,488.57,1.25
408225.78,87323.75,487.57,1.23
408225.78,87323.75,486.57,0.91
408225.78,87323.75,485.57,0.34
408225.78,87323.75,484.57,0.35
408225.78,87323.75,483.57,0.28
408225.78,87323.75,482.57,0.4
408225.78,87323.75,481.57,1.02
408225.78,87323.75,480.57,0.76
408225.78,87323.75,479.57,1.47
408225.78,87323.75,478.57,1.92
408225.78,87323.75,477.57,1.22
408225.78,87323.75,476.57,0.12
408225.78,87323.75,475.57,0.19
408225.78,87323.75,474.57,0.19
408225.78,87323.75,473.57,0.14
408225.72,87350.05,488.82,0.9
408225.72,87350.05,487.82,0.97
408225.72,87350.05,486.82,1.03
408225.72,87350.05,485.82,1.19
408225.72,87350.05,484.82,2.07
408225.72,87350.05,483.82,2.33
408225.72,87350.05,482.82,2.29
408225.72,87350.05,481.82,1.68
408225.72,87350.05,480.82,1.4
408225.72,87350.05,479.82,2.16
408225.72,87350.05,478.82,2.25
408225.72,87350.05,477.82,2.08
408225.72,87350.05,476.82,1.37
408225.72,87350.05,475.82,0.44
408225.72,87350.05,474.82,0.72
408225.72,87350.05,473.82,0.52
408225.72,87350.05,472.82,0.52
408225.72,87350.05,471.82,0.48
408225.72,87350.05,470.82,0.45
408225.72,87350.05,469.82,0.92
408225.72,87350.05,468.82,0.29
408225.72,87350.05,467.82,1.07
408225.72,87350.05,466.82,2.03
408225.72,87350.05,465.82,1.37
408225.72,87350.05,464.82,1.08
408225.72,87350.05,463.82,1.34
408224.91,87375.23,492.29,1.16
408224.91,87375.23,491.29,1.23
408224.91,87375.23,490.29,1.51
408224.91,87375.23,489.29,2.43
408224.91,87375.23,488.29,2.35
408224.91,87375.23,487.29,2.32
408224.91,87375.23,486.29,2.79
408224.91,87375.23,485.29,2.84
408224.91,87375.23,484.29,2.38
408224.91,87375.23,483.29,2.46
408224.91,87375.23,482.29,1.77
408224.91,87375.23,481.29,2.12
408224.91,87375.23,480.29,2.6
408224.91,87375.23,479.29,2.18
408224.91,87375.23,478.29,2.48
408224.91,87375.23,477.29,1.61
408224.91,87375.23,476.29,1.37
408224.91,87375.23,475.29,2.26
408224.91,87375.23,474.29,1.54
408224.91,87375.23,473.29,2.53
408224.91,87375.23,472.29,2
408224.91,87375.23,471.29,1.96
408224.91,87375.23,470.29,2.08
408224.91,87375.23,469.29,2.61
408224.91,87375.23,468.29,1.78
408224.91,87375.23,467.29,2.28
408225.47,87149.85,525.24,0.61
408225.47,87149.85,524.24,0.54
408225.47,87149.85,523.24,0.87
408225.47,87149.85,522.24,1.14
408225.47,87149.85,521.24,1.19
408225.47,87149.85,520.24,0.8
408225.47,87149.85,519.24,1.04
408225.47,87149.85,518.24,0.61
408225.47,87149.85,517.24,1
408225.47,87149.85,516.24,2.11
408225.47,87149.85,515.24,1.62
408225.47,87149.85,514.24,1.2
