Propinsi,Kabupaten,Kode,Nama Kabupaten,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9
31,71,3171,Jakarta Selatan,3.410,0.000,2.046,0.015,17.477,0.000,0.554,1.677,100.000,100.000
31,72,3172,Jakarta Timur,3.390,0.003,2.000,2.087,23.462,0.000,0.569,1.138,100.000,96.923
31,73,3173,Jakarta Pusat,3.580,0.000,2.114,0.000,14.773,0.000,0.591,1.614,100.000,100.000
31,74,3174,Jakarta Barat,3.410,0.003,2.036,0.132,19.964,0.000,0.714,0.607,96.429,100.000
31,75,3175,Jakarta Utara,6.020,0.008,3.484,0.000,25.129,0.000,0.613,0.387,100.000,100.000
32,01,3201,Bogor,12.110,0.046,0.652,7.797,7.147,0.159,0.208,0.895,70.794,97.897
32,02,3202,Sukabumi,13.260,0.108,0.610,12.667,5.695,0.000,0.616,1.065,64.578,92.371
32,03,3203,Cianjur,15.380,0.111,0.282,18.048,5.371,0.000,0.319,0.767,64.368,88.793
32,04,3204,Bandung,9.420,0.072,0.829,2.028,7.687,0.418,0.236,1.531,90.909,99.273
32,05,3205,Garut,17.870,0.110,0.759,9.325,5.318,0.288,0.283,1.252,62.028,95.283
32,06,3206,Tasikmalaya,14.700,0.106,0.407,11.853,4.746,0.812,0.068,0.729,54.131,99.715
32,07,3207,Ciamis,12.320,0.091,0.063,5.756,4.614,0.484,0.951,1.086,73.487,99.424
32,08,3208,Kuningan,16.750,0.085,0.098,2.729,2.532,0.662,0.157,1.146,98.404,100.000
32,09,3209,Cirebon,20.250,0.084,0.028,7.314,3.276,0.835,0.474,0.783,83.255,99.292
32,10,3210,Majalengka,18.790,0.115,0.009,1.245,3.281,0.626,0.222,1.237,93.114,99.401
32,11,3211,Sumedang,15.180,0.094,0.184,3.296,2.982,0.852,0.332,1.245,92.058,99.278
32,12,3212,Indramayu,19.750,0.129,0.428,5.721,4.109,0.342,0.543,1.323,75.399,93.291
32,13,3213,Subang,15.150,0.108,0.443,9.340,4.692,0.925,0.324,1.257,75.889,100.000
32,14,3214,Purwakarta,11.610,0.066,0.255,1.922,3.260,0.151,0.130,1.271,76.042,99.479
32,15,3215,Karawang,14.000,0.120,0.547,3.674,4.715,0.181,0.110,0.984,67.314,98.058
32,16,3216,Bekasi,5.890,0.058,0.652,4.243,7.439,0.417,0.882,1.091,64.171,97.326
32,17,3217,Bandung Barat,17.610,0.090,0.982,4.041,6.782,0.230,0.594,1.158,66.061,96.970
32,71,3271,Bogor,9.720,0.007,1.544,0.609,7.397,0.015,0.250,1.515,100.000,100.000
32,72,3272,Sukabumi,10.410,0.016,0.000,0.406,6.667,0.000,0.182,0.636,100.000,100.000
32,73,3273,Bandung,4.420,0.002,2.430,4.083,8.305,0.000,0.252,1.371,98.675,100.000
32,74,3274,Cirebon,14.110,0.004,2.000,3.946,10.818,0.045,0.682,1.455,100.000,100.000
32,75,3275,Bekasi,6.360,0.001,0.929,0.158,19.482,0.018,0.661,1.786,100.000,100.000
32,76,3276,Kota Depok,2.690,0.010,0.429,2.052,11.127,0.000,0.333,1.048,96.825,100.000
32,77,3277,Kota Cimahi,8.350,0.004,0.600,0.099,15.467,0.000,0.267,1.800,100.000,100.000
32,78,3278,Kota Tasikmalaya,26.080,0.045,0.913,1.758,6.449,0.710,0.841,1.507,95.652,100.000
32,79,3279,Kota Banjar,9.310,0.056,0.583,4.292,6.250,0.875,0.000,1.792,100.000,100.000
33,01,3301,Cilacap,21.400,0.083,0.113,11.814,5.349,0.754,0.697,1.018,79.930,97.535
33,02,3302,Banyumas,22.930,0.076,0.024,6.902,3.810,0.776,0.335,1.184,93.656,100.000
33,03,3303,Purbalingga,27.120,0.076,0.000,10.705,3.251,0.000,0.096,1.644,91.632,100.000
33,04,3304,Banjarnegara,23.340,0.083,0.047,6.583,3.622,0.169,0.097,1.079,83.813,99.640
33,05,3305,Kebumen,27.870,0.082,0.013,9.205,2.517,0.654,0.091,0.720,58.043,98.913
33,06,3306,Purworejo,18.220,0.072,0.000,6.454,1.455,0.593,0.395,0.917,67.814,99.190
33,07,3307,Wonosobo,27.720,0.082,0.026,6.661,2.800,0.717,0.517,1.238,64.906,99.623
33,08,3308,Magelang,16.490,0.088,0.040,10.300,3.105,0.933,0.269,0.815,66.935,100.000
33,09,3309,Boyolali,17.080,0.065,0.015,14.435,3.551,1.007,0.296,1.255,91.760,99.625
33,10,3310,Klaten,21.720,0.069,0.005,3.376,2.594,0.723,0.337,1.110,93.017,100.000
33,11,3311,Sukoharjo,12.130,0.057,0.066,0.503,3.868,0.934,0.257,1.713,95.808,100.000
33,12,3312,Wonogiri,20.710,0.073,0.000,7.485,3.422,0.905,0.327,0.871,52.721,99.660
33,13,3313,Karanganyar,15.680,0.069,0.000,1.265,3.797,0.994,0.203,1.486,99.435,100.000
33,14,3314,Sragen,20.830,0.096,0.000,5.748,3.856,1.207,0.264,1.337,70.673,99.519
33,15,3315,Grobogan,19.840,0.111,0.014,1.762,4.221,0.986,0.218,1.246,39.643,99.286
33,16,3316,Blora,18.790,0.066,0.010,3.221,2.922,1.000,0.688,1.034,70.847,98.305
33,17,3317,Rembang,27.210,0.085,0.279,1.310,1.847,0.925,0.350,0.847,94.898,100.000
33,18,3318,Pati,17.900,0.122,0.020,1.608,2.879,0.727,0.547,0.906,92.611,99.507
33,19,3319,Kudus,12.580,0.056,0.083,1.122,5.705,1.030,0.758,1.167,88.636,100.000
33,20,3320,Jepara,11.050,0.068,0.134,6.211,5.237,1.155,0.242,0.866,97.938,99.485
33,21,3321,Demak,21.240,0.092,0.032,0.114,3.735,0.811,0.084,1.213,57.430,95.181
33,22,3322,Semarang,11.370,0.076,0.089,2.005,3.643,0.779,0.996,1.366,100.000,100.000
33,23,3323,Temanggung,16.390,0.056,0.000,2.075,2.457,0.730,0.024,0.799,42.907,99.308
33,24,3324,Kendal,17.870,0.114,0.039,2.291,2.916,0.933,0.407,1.112,88.070,99.649
33,25,3325,Batang,18.080,0.108,0.000,4.328,2.802,0.573,0.569,0.972,94.758,100.000
33,26,3326,Pekalongan,19.520,0.082,0.032,10.165,2.700,0.721,0.322,1.290,93.286,98.587
33,27,3327,Pemalang,23.920,0.085,0.365,24.710,4.550,0.878,0.486,1.122,88.739,96.396
33,28,3328,Tegal,15.780,0.100,0.397,10.355,3.780,0.578,0.143,1.070,93.031,98.955
